words,x,y
new,-4.02407693862915,0.2217663675546646
york,35.3012580871582,-51.552066802978516
times,26.285062789916992,48.798587799072266
publishing,49.802337646484375,-22.6359806060791
devastating,-36.015052795410156,3.8582065105438232
series,55.00353240966797,-23.65164566040039
lasting,-24.331912994384766,53.8392333984375
psychological,-0.18603713810443878,61.116695404052734
effects,-4.060118198394775,58.16117477416992
government,25.722732543945312,14.785998344421387
torture,5.073527812957764,-13.431661605834961
held,8.141571998596191,-45.13835144042969
cia,31.09475326538086,-12.671248435974121
run,-16.741947174072266,-34.20459747314453
secret,-27.469112396240234,26.213441848754883
overseas,23.282075881958008,-25.750503540039062
prisons,19.489578247070312,-14.703154563903809
bay,19.909528732299805,-32.938018798828125
two,7.775457382202148,-63.54010772705078
psychologists,1.3111259937286377,13.480976104736328
james,52.72446060180664,-41.877662658691406
mitchell,46.51533889770508,-34.19147491455078
bruce,43.009254455566406,-32.493560791015625
independent,36.27800750732422,16.94510841369629
designed,-4.9067606925964355,51.52754592895508
helped,-14.839498519897461,-9.998922348022461
implement,-8.66343879699707,35.578433990478516
program,47.8375129699707,-14.665938377380371
defendants,22.035076141357422,-10.775733947753906
aclu,32.62599182128906,-13.444607734680176
lawsuit,30.856313705444336,-12.994430541992188
behalf,-30.246244430541992,39.85139465332031
three,7.6750640869140625,-63.457496643066406
victims,4.7697529792785645,-13.123517036437988
interview,48.26318359375,-25.991819381713867
third,45.4973030090332,10.249259948730469
tortured,3.4647979736328125,-17.938697814941406
death,-50.9024772644043,5.035844802856445
the,-9.650127410888672,-0.29605066776275635
based,15.612214088439941,42.466941833496094
junk,-18.02569580078125,-55.512481689453125
science,37.91109848022461,31.527284622192383
claiming,27.89683723449707,6.119739532470703
prisoners,19.78243637084961,-14.055254936218262
reached,0.8140575885772705,-34.52093505859375
state,20.521682739257812,19.264434814453125
learned,39.710609436035156,36.27557373046875
helplessness,-17.533803939819336,29.670475006103516
would,-24.23947525024414,1.934514045715332
lead,-15.147761344909668,39.21626281738281
accurate,18.882186889648438,42.39353942871094
intelligence,11.30078125,54.13623046875
since,-11.424144744873047,-1.7547742128372192
ended,15.614646911621094,-40.520530700683594
meaningful,0.2508440911769867,48.2968635559082
accountability,-1.7234352827072144,35.99879837036133
perpetrators,1.7145495414733887,-13.949398040771484
privacy,13.304093360900879,10.389880180358887
statement,21.403757095336914,48.35734176635742
serve,-24.13857650756836,37.380496978759766
content,66.66859436035156,-4.063978672027588
youtube,51.952701568603516,-16.52850914001465
one,-17.986309051513672,18.138065338134766
stories,32.233463287353516,44.84749984741211
highlights,3.9946630001068115,14.085051536560059
client,24.45458221435547,-11.313977241516113
ahmed,52.800846099853516,20.79783821105957
kidnapped,-3.5111069679260254,-21.748437881469727
country,41.7269287109375,-0.8562918305397034
libya,45.576560974121094,-0.49270182847976685
rendered,-23.148773193359375,26.155805587768555
salt,-36.108978271484375,-47.3687858581543
pit,-44.044036865234375,-29.107295989990234
prison,19.304094314575195,-12.561124801635742
call,42.93618392944336,43.410423278808594
darkness,-43.549842834472656,-36.697872161865234
there,-10.492095947265625,2.8942763805389404
subjected,-18.601654052734375,61.61640167236328
worst,-33.9379768371582,4.684569358825684
devised,6.12921667098999,24.873634338378906
forced,17.557409286499023,8.940520286560059
onto,-20.640989303588867,-46.19580078125
plastic,-19.396413803100586,-54.316505432128906
naked,-33.382450103759766,-38.84079360961914
hands,-27.981792449951172,-41.95431900024414
head,-27.05316162109375,-42.49772262573242
officials,30.495901107788086,-15.780729293823242
poured,-37.11703872680664,-31.186267852783203
ice,-19.6634464263916,-44.1619987487793
water,-35.2230339050293,-46.42938995361328
others,-24.792078018188477,43.88889694213867
lifted,-30.90130615234375,-42.061363220214844
corners,-4.850727558135986,-49.12101745605469
sending,-13.64610767364502,-13.81078815460205
causing,-37.50019836425781,3.598050355911255
drowning,-36.57251739501953,1.208504319190979
sensation,-28.036266326904297,-24.147546768188477
locked,-11.400038719177246,-39.02305221557617
inside,-41.865013122558594,-51.333946228027344
coffin,-22.792232513427734,-40.16691589355469
sized,-16.436737060546875,-43.1242790222168
boxes,-18.782716751098633,-52.94968032836914
even,-27.571800231933594,4.189453601837158
smaller,8.149320602416992,-23.371822357177734
repeatedly,25.705650329589844,-9.922317504882812
wall,-16.448749542236328,-47.985538482666016
ceiling,-18.294509887695312,-46.43803787231445
arms,-27.4656925201416,-43.093170166015625
days,17.584278106689453,-59.12599563598633
rock,-23.455984115600586,-43.86317825317383
music,-35.32033920288086,-14.284276962280273
throughout,26.60207748413086,29.776897430419922
pitch,-21.07063865661621,-42.59968948364258
black,35.842227935791016,1.7514393329620361
abused,-4.252802848815918,-14.899959564208984
year,18.797452926635742,-60.17192459106445
recovered,-7.740047931671143,-9.434070587158203
time,-20.90668487548828,-11.896921157836914
today,-13.387025833129883,36.717193603515625
lives,-28.47650146484375,57.241722106933594
constant,-5.64320707321167,43.16434097290039
fear,-35.89482498168945,7.373950481414795
tomorrow,18.01699447631836,-53.75417709350586
children,-5.707174777984619,-18.671279907226562
ask,13.238517761230469,31.40492820739746
loses,-18.754955291748047,32.5215950012207
temper,-31.90018081665039,-1.614193320274353
suddenly,-36.162071228027344,-8.420085906982422
told,-17.142322540283203,-9.570084571838379
loss,-40.385982513427734,2.0635485649108887
words,26.743682861328125,36.88622283935547
explain,17.74018669128418,44.2927360534668
things,-33.13789367675781,26.084640502929688
another,-17.926626205444336,18.915422439575195
abdullah,55.711971282958984,17.972349166870117
subject,29.73013687133789,45.13002014160156
second,45.49258804321289,10.258176803588867
article,54.14817810058594,-22.332603454589844
sent,-13.657862663269043,-13.808225631713867
brutally,3.2263882160186768,-15.35905647277832
he,-14.008523941040039,-1.047505259513855
solitary,-14.3651704788208,-19.878990173339844
room,-13.209096908569336,-52.066566467285156
dark,-43.11862564086914,-37.18056106567383
could,-24.261079788208008,1.9147913455963135
see,-31.895418167114258,-8.453989028930664
walls,-17.26288604736328,-47.47228240966797
cell,-10.028433799743652,-39.60112380981445
hung,-14.487943649291992,-39.899269104003906
cold,-43.08234405517578,-40.865867614746094
wrapped,-19.130252838134766,-46.86970138549805
beaten,3.4103710651397705,-18.524394989013672
like,-19.196502685546875,-5.789146423339844
box,-15.422178268432617,-54.498897552490234
eight,6.752713680267334,-62.53347396850586
years,17.069944381713867,-59.92438888549805
release,23.150596618652344,-11.581713676452637
remains,-7.379258155822754,22.566463470458984
deeply,-29.45596694946289,52.10324478149414
diagnosed,-6.583832263946533,-11.54981517791748
injuries,-43.8586311340332,1.1874358654022217
including,40.27359390258789,8.680828094482422
severe,-37.913841247558594,2.7736618518829346
depression,-39.470733642578125,1.1067800521850586
post,52.03457260131836,-22.232282638549805
stress,-1.3206597566604614,59.10365295410156
disorder,-0.1936316043138504,43.011085510253906
experiences,13.520552635192871,51.22087860107422
frequent,-5.654018402099609,16.158464431762695
terrifying,-35.07717514038086,-7.521251201629639
spells,-10.561103820800781,21.120878219604492
confusion,-16.63603401184082,31.01309585571289
major,24.979942321777344,20.50807762145996
many,20.577417373657227,-4.64076042175293
feel,-33.27974319458008,-5.054880142211914
something,-26.86383819580078,-6.3911943435668945
heavy,-21.07993507385254,-47.78659439086914
body,-53.459861755371094,36.73524856567383
sometimes,-24.852909088134766,0.004309806507080793
walk,-38.134361267089844,-17.8514347076416
forget,-41.589256286621094,-3.295619249343872
everything,-27.71458625793457,-7.266890525817871
always,-22.171770095825195,3.856480360031128
comes,-36.666046142578125,-17.226911544799805
while,14.42514419555664,-37.457969665527344
think,-21.319026947021484,-0.9424720406532288
physical,-0.5984248518943787,61.446502685546875
violence,29.35784339904785,7.140547752380371
wounds,-42.79998779296875,-1.4782459735870361
treated,-36.22277069091797,52.91915512084961
reminder,-13.576031684875488,36.63504409790039
long,-0.2440391629934311,-24.40518569946289
mental,-0.4228484034538269,61.30012512207031
associated,17.53125,29.615798950195312
worse,-28.08159828186035,-1.7718640565872192
case,21.3729190826416,-8.967558860778809
complete,-11.04830551147461,45.19632339477539
lack,-9.119537353515625,47.7470588684082
as,-13.719585418701172,0.49663931131362915
editorial,52.74794387817383,-22.701915740966797
board,28.948898315429688,-22.518512725830078
wrote,58.12629318237305,-24.59465217590332
commentary,35.9388427734375,-45.10323715209961
question,25.489032745361328,53.03466033935547
whether,-6.837052345275879,37.683082580566406
anyone,-26.908708572387695,-7.521252155303955
account,33.8797492980957,35.6995964050293
damage,6.058923721313477,-19.545799255371094
wrought,-30.086809158325195,34.53757858276367
depraved,-52.77134323120117,22.273244857788086
periods,0.45593369007110596,-24.405214309692383
american,39.55730438232422,4.830850601196289
history,35.85443115234375,34.386009216308594
president,42.7929573059082,-14.152363777160645
obama,42.7580680847168,-14.545992851257324
stance,25.363521575927734,12.349617004394531
move,-16.55742073059082,-32.390987396240234
bush,42.71517562866211,-15.125014305114746
administration,40.659423828125,-13.002168655395508
atrocities,3.7817695140838623,-14.373003005981445
however,2.5092480182647705,29.082117080688477
every,-11.290695190429688,-9.682561874389648
day,21.354501724243164,-57.24669647216797
inflicted,-28.814342498779297,12.196773529052734
unable,-24.33020782470703,7.340915679931641
unlike,21.644163131713867,24.12019157409668
seeking,-19.769704818725586,44.05634689331055
judge,-42.77000045776367,12.382525444030762
allowing,-11.69110107421875,34.48006057739258
forward,-22.554147720336914,-15.124933242797852
noted,58.614933013916016,-24.18083953857422
present,-8.636883735656738,42.68782043457031
first,45.495845794677734,10.260202407836914
ever,-39.082191467285156,5.037255764007568
opportunity,3.1369311809539795,60.058692932128906
justice,-18.24123764038086,40.756004333496094
system,12.161377906799316,57.78131866455078
reckon,-17.160429000854492,23.89732551574707
directly,8.254678726196289,29.763093948364258
brutal,5.395029067993164,-13.519305229187012
legacy,43.8635139465332,14.679116249084473
policies,26.20850944519043,14.945250511169434
with,-11.897839546203613,0.22436833381652832
ruling,21.957117080688477,19.25769805908203
friday,22.031248092651367,-58.7418098449707
inmates,0.8702297806739807,-20.757654190063477
iraq,46.509300231933594,-0.21601207554340363
abu,57.10067367553711,16.781604766845703
military,48.202239990234375,0.7422776818275452
measure,-22.299617767333984,48.296451568603516
getting,-24.604381561279297,-8.125828742980957
closer,-22.092365264892578,-16.913990020751953
least,-11.713068008422852,5.102248668670654
doj,25.83082389831543,-9.245332717895508
dropped,-12.363433837890625,-42.41278076171875
private,26.640871047973633,-19.82984161376953
end,-6.31350040435791,17.497486114501953
critical,8.927757263183594,34.822566986083984
survivors,23.862918853759766,-4.860117435455322
families,-4.624149799346924,-56.15504455566406
us,-33.43623352050781,36.5452766418457
value,-24.752073287963867,59.79475784301758
living,-29.019634246826172,54.52939224243164
nation,42.29991149902344,0.7217111587524414
laws,21.836544036865234,17.10845375061035
strong,-19.594745635986328,26.246871948242188
enough,-17.277881622314453,-5.992734432220459
acknowledge,-5.58936071395874,36.58366012573242
wrongdoing,-27.029848098754883,13.484130859375
make,-47.37761688232422,49.562286376953125
only,-11.293970108032227,0.18074806034564972
fully,-6.1913604736328125,55.95120620727539
reckoning,-5.97271203994751,14.56253719329834
past,-8.612442016601562,42.654327392578125
clients,24.957500457763672,1.8384037017822266
hundreds,16.539491653442383,-33.51042556762695
finally,-21.088838577270508,-13.903802871704102
confidence,-29.591833114624023,43.05814743041992
never,-39.07309341430664,4.947164058685303
happen,-18.40814971923828,-1.3186416625976562
leading,23.433900833129883,1.460256576538086
election,41.60664367675781,-12.573031425476074
official,37.91672134399414,-7.947467803955078
policy,26.209999084472656,15.123627662658691
option,3.693537473678589,27.497262954711914
necessary,-2.6406991481781006,34.3321647644043
,-46.406375885009766,37.24825668334961
image,-18.654022216796875,57.967044830322266
crop,-33.89208221435547,-51.345027923583984
still,-28.436010360717773,2.079925060272217
questions,25.493194580078125,53.02216339111328
answered,-18.085025787353516,-12.760903358459473
customers,14.337225914001465,-26.83983039855957
emails,48.693275451660156,-18.633190155029297
mysterious,-19.356220245361328,52.338497161865234
order,-10.812146186828613,56.26618194580078
anonymous,62.38434600830078,-5.646994113922119
revealed,17.037099838256836,38.09248352050781
used,33.4805793762207,49.106868743896484
court,31.430509567260742,-15.356450080871582
issued,31.226369857788086,-13.639416694641113
foreign,35.22883224487305,-0.398933082818985
surveillance,29.282394409179688,-15.466320037841797
sweeping,-17.99310302734375,-37.574039459228516
demand,16.078960418701172,9.465503692626953
legal,22.792943954467773,16.153350830078125
interpretations,24.145959854125977,42.865638732910156
remain,-36.82962417602539,10.640207290649414
small,7.328055381774902,-23.744626998901367
part,9.4009428024292,47.45815658569336
much,-21.973358154296875,0.8112712502479553
larger,8.15875244140625,-23.32431411743164
collection,50.506744384765625,-19.814720153808594
hidden,-43.96579360961914,-33.83073425292969
rulings,17.000816345214844,17.291927337646484
sorts,-2.599656581878662,29.08108139038086
activities,34.9798583984375,-16.662134170532227
affect,-4.982789993286133,31.52083969116211
rights,23.481679916381836,14.697361946105957
americans,39.34071731567383,0.045886579900979996
that,-15.35049057006836,0.11393649876117706
help,-27.661346435546875,6.299287796020508
